invoice_id,transaction_id,date,customer_name,total_amount,status,gst_amount,discount,net_amount
INV_7131B271,TXN_A5D588B1,2026-08-19,Sarah Hooper,4234.37,PAID,762.19,0.0,4234.37
INV_1C0E019B,TXN_67AE5295,2026-08-11,Juan Peters,1525.48,PAID,274.59,0.0,1525.48
INV_5045CA3B,TXN_59D80763,2026-08-14,Robert Thompson,3728.87,PAID,671.2,0.0,3728.87
INV_7CEE0400,TXN_71D90CEE,2026-08-31,Michael Reed,3220.96,PAID,579.77,0.0,3220.96
INV_32F37E7F,TXN_974613D9,2026-08-25,Sabrina Bush,1928.0,PAID,347.04,0.0,1928.0
INV_74B9BE7E,TXN_CD581293,2026-08-05,Matthew Johnson,2483.39,PAID,447.01,0.0,2483.39
INV_E5F8A6FD,TXN_A8D2D42E,2026-08-15,Michael Jenkins,2910.46,PAID,523.88,0.0,2910.46
INV_260B8FE2,TXN_75D85B50,2026-08-06,Brian Garcia,1732.11,PAID,311.78,0.0,1732.11
INV_6DCE9B5D,TXN_7ABCDFFA,2026-08-26,Charles Ali,504.04,PAID,90.73,0.0,504.04
INV_20DFBC55,TXN_7E1B356B,2026-08-27,Joseph Henry,575.5,PAID,103.59,0.0,575.5
INV_3FB2DBF0,TXN_581743D3,2026-08-26,David Shaw,1697.51,PAID,305.55,0.0,1697.51
INV_5B92DE02,TXN_139170FC,2026-08-31,Keith Smith,99.2,PAID,17.86,0.0,99.2
INV_3283DAF5,TXN_9D19590B,2026-09-01,Daryl Hill,3611.33,PAID,650.04,0.0,3611.33
INV_F4D473CC,TXN_5CAA6501,2026-08-15,Lori Walker,839.14,PAID,151.05,0.0,839.14
INV_3EFE613D,TXN_EE3462E3,2026-08-27,Joseph Medina,1387.29,PAID,249.71,0.0,1387.29
INV_BA7BF5BB,TXN_1F669F40,2026-08-26,Ms. Tammy Green MD,4012.29,PAID,722.21,0.0,4012.29
INV_9C14B940,TXN_FCFD9383,2026-08-22,Christopher Patrick,2183.21,PAID,392.98,0.0,2183.21
